doc,summarizer,simple_coherence_score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,0.9987772107124329
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,0.9873582124710083
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,0.9983748197555542
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,0.07447178661823273
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,0.999923586845398
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,0.9999288320541382
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,0.006841032765805721
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,0.99982750415802
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,0.9999210834503174
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,0.2832569181919098
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,0.9989336133003235
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,0.9997431635856628
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,0.28491297364234924
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,0.9880703091621399
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,0.9873391389846802
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,0.001246558385901153
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.999332845211029
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,0.0006266093696467578
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,0.999815046787262
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,0.9997434020042419
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,0.11568820476531982
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,0.9997100234031677
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,0.009774918667972088
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,0.9898838996887207
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,0.9852989912033081
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,0.9992407560348511
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,0.9997351765632629
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,0.000798255845438689
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,0.9996494054794312
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,0.9995167255401611
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,0.9790869951248169
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,0.9998856782913208
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,0.0008810841245576739
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,0.9940856695175171
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,0.05125876143574715
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,0.0008491327171213925
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,0.9834486842155457
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,0.1359412968158722
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,0.07665763795375824
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,0.99951171875
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,0.9829299449920654
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,0.9991291165351868
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,0.9999094009399414
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,0.025648877024650574
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,0.9610380530357361
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,0.033244650810956955
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,0.06113797053694725
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,0.9997772574424744
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,0.5256273746490479
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,0.9998005032539368
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,0.9705103039741516
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,0.999895453453064
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,0.006816080305725336
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,0.9998340606689453
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,BanditSum,0.0004288602212909609
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,BanditSum,0.9996252059936523
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,BanditSum,0.9864000082015991
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,BanditSum,0.9988607168197632
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,BanditSum,0.9996089339256287
