doc,summarizer,score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,0.01804042
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-0.015189519
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,0.0021226304
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,0.022984441
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,0.021248046
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,-0.015398379
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,0.027577192
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,-0.011243831
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,-0.012319341
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,0.022772234
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-0.0032273591
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-0.0061695026
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-0.019314483
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,-0.000932605
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-0.009782512
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,-0.009610513
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.028738465
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,0.004719335
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,-0.006076896
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,-0.01558681
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,0.00072191795
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,0.0021686968
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,0.010139292
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,0.004507337
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-0.012112871
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,-0.010841852
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,0.021715028
