doc,summarizer,score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,0.9896047
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-0.40160868
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,-1.2676222
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,-0.34000385
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,-0.52028567
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,-2.1523707
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,-0.50614035
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,-0.64396596
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,-1.4725246
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,-0.26732364
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-1.0657555
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-0.94389683
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-1.1479447
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,-1.0577089
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-1.6874716
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,-0.7930778
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.15165651
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,-1.0021883
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,-1.0992641
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,-1.0311879
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,0.115337834
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,-1.1408571
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,0.13758874
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,0.3073608
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-0.80390364
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,0.09959772
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,0.37274235
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,-0.840971
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,-1.1576855
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,-1.2961482
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,-0.79170644
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,-0.83634496
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,-0.10344725
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,-2.1329381
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,-1.0267413
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,-0.5866485
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,-0.19902244
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,0.22104031
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,0.5674662
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,-1.0177081
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,-0.92656475
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,-2.1325839
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,-0.1686018
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,-1.8484421
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,-0.8887616
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,-0.91958404
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,-0.52131736
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,-0.91431195
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,-0.26098737
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,-1.6363465
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,1.0790259
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,-0.8779877
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,-1.3460934
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,0.10792184
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,BanditSum,-0.37132305
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,BanditSum,-1.5266664
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,BanditSum,-1.1239194
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,BanditSum,-1.3003796
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,BanditSum,0.8227476
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,BanditSum,-2.1066303
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,BanditSum,-1.0829535
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,BanditSum,-0.35570446
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,BanditSum,-0.25612706
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,BanditSum,-1.6742008
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,BanditSum,-0.7098386
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,BanditSum,-1.1625129
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,BanditSum,-1.5071012
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,BanditSum,-2.2794073
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,BanditSum,-0.39810863
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,BanditSum,-2.6681206
dm-test-801763443e6c73e3857039f2223798b2b58bef19,BanditSum,-0.9823729
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,BanditSum,0.53040975
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,BanditSum,-0.14348815
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,BanditSum,-2.0634818
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,BanditSum,-2.2939985
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,BanditSum,-1.1266619
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,BanditSum,0.7271855
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,BanditSum,-0.8343605
dm-test-26e4e19d945cedcb489f28808c730658139c9415,BanditSum,-0.963669
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,BanditSum,-0.5127266
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,BanditSum,-1.236975
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,BanditSum,-0.85441303
dm-test-051db270afc32571a08c15124330efe89d80fea8,BanditSum,-0.9141173
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,BanditSum,-1.4861293
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,BanditSum,-0.34794763
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,BanditSum,-0.6398395
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,BanditSum,-0.43530348
