doc,summarizer,score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,-0.09062374999999999
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-0.19963320895522388
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,-0.13164145569620253
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,-0.0744049504950495
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,-0.10326141975308642
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,-0.17779440789473686
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,-0.08803322784810126
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,-0.1532121875
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,-0.21287610294117645
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,-0.11136229508196721
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-0.1681336956521739
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-0.20735727272727272
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-0.13834328703703702
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,-0.10335416666666666
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-0.25176394230769233
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,-0.12910767326732672
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,-0.12341037735849057
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,-0.16716461538461538
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,-0.11535255102040817
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,-0.17931161971830986
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,-0.08384070247933884
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,-0.12023958333333333
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,-0.09959485981308412
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,-0.15423345588235296
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-0.13398031914893618
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,-0.18942053571428571
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,-0.08631022727272727
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,-0.12478455882352942
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,-0.13174418604651164
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,-0.16197109375
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,-0.12465058139534885
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,-0.12827119047619048
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,-0.1699075
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,-0.13278297413793103
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,-0.14540919117647058
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,-0.12416869565217392
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,-0.12758915662650602
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,-0.11358196721311475
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,-0.05727205882352941
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,-0.17010681818181816
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,-0.25625161290322584
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,-0.36703625
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,-0.1437876923076923
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,-0.20194112903225808
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,-0.16015107142857143
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,-0.15852258064516128
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,-0.10054554455445544
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,-0.14751264367816092
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,-0.09527095959595959
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,-0.17901266666666668
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,-0.13208633333333333
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,-0.1788594512195122
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,-0.21503641304347826
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,-0.170408203125
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,BanditSum,-0.07215367132867133
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,BanditSum,-0.2104044642857143
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,BanditSum,-0.20283577586206894
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,BanditSum,-0.3059822580645161
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,BanditSum,-0.09289601449275361
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,BanditSum,-0.18997911392405065
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,BanditSum,-0.13312219827586208
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,BanditSum,-0.08688833333333333
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,BanditSum,-0.12635421686746987
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,BanditSum,-0.23187021276595746
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,BanditSum,-0.19293125
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,BanditSum,-0.1735067857142857
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,BanditSum,-0.15580443548387096
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,BanditSum,-0.2729777777777778
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,BanditSum,-0.14282708333333333
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,BanditSum,-0.21769460227272727
dm-test-801763443e6c73e3857039f2223798b2b58bef19,BanditSum,-0.13333994252873563
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,BanditSum,-0.09360321428571429
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,BanditSum,-0.11231456310679612
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,BanditSum,-0.23355896226415093
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,BanditSum,-0.218065234375
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,BanditSum,-0.16381920731707317
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,BanditSum,-0.1129390625
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,BanditSum,-0.16212045454545454
dm-test-26e4e19d945cedcb489f28808c730658139c9415,BanditSum,-0.21594669811320757
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,BanditSum,-0.14747113402061857
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,BanditSum,-0.18277785714285713
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,BanditSum,-0.11800130208333333
dm-test-051db270afc32571a08c15124330efe89d80fea8,BanditSum,-0.18217650602409638
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,BanditSum,-0.13911658163265306
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,BanditSum,-0.13298037634408602
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,BanditSum,-0.10532621951219512
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,BanditSum,-0.14781388888888888
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,BanditSum,-0.141284649122807
dm-test-fadabe346fe95d33eee71299e6596754768f5246,BanditSum,-0.08523240740740741
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,BanditSum,-0.1086503205128205
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,BanditSum,-0.10933449367088607
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,BanditSum,-0.23819136363636362
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,BanditSum,-0.09572137404580153
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,BanditSum,-0.1514791095890411
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,BanditSum,-0.12161216216216215
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,BanditSum,-0.12184697802197803
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,BanditSum,-0.1162478125
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,BanditSum,-0.14806666666666668
dm-test-2377095dda83df778e34304b7a09813808105d3b,BanditSum,-0.16439705882352942
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,BanditSum,-0.12918179611650485
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,LEAD-3,-0.08362984693877551
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,LEAD-3,-0.23702089552238806
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,LEAD-3,-0.13164145569620253
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,LEAD-3,-0.11607604166666667
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,LEAD-3,-0.16489711538461538
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,LEAD-3,-0.1383635135135135
dm-test-14c813567696f4e63a39993c09d4edb454036179,LEAD-3,-0.12998377659574467
dm-test-e470f0a87d7513bf880412524332047020422c3f,LEAD-3,-0.20908937500000002
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,LEAD-3,-0.13403434343434342
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,LEAD-3,-0.131993359375
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,LEAD-3,-0.16296123188405798
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,LEAD-3,-0.20735727272727272
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,LEAD-3,-0.22950673076923075
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,LEAD-3,-0.1714375
dm-test-4fb64a2298e18626db776fccf834be87388827e0,LEAD-3,-0.23301346153846153
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,LEAD-3,-0.14356584158415842
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,LEAD-3,-0.19918443396226415
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,LEAD-3,-0.11709424778761061
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,LEAD-3,-0.11535255102040817
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,LEAD-3,-0.22218204225352112
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,LEAD-3,-0.1752723140495868
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,LEAD-3,-0.13107447916666667
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,LEAD-3,-0.15577733644859815
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,LEAD-3,-0.40739642857142855
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,LEAD-3,-0.16269308510638297
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,LEAD-3,-0.2926410714285714
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,LEAD-3,-0.17756136363636366
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,LEAD-3,-0.10638033333333334
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,LEAD-3,-0.1545186046511628
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,LEAD-3,-0.1815252840909091
dm-test-3785743303ddb8b594be7c449a37458b99e83812,LEAD-3,-0.16732877906976745
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,LEAD-3,-0.20710735294117646
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,LEAD-3,-0.12257261904761904
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,LEAD-3,-0.18755579268292685
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,LEAD-3,-0.18904889705882355
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,LEAD-3,-0.16477648514851484
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,LEAD-3,-0.1601012048192771
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,LEAD-3,-0.21241270491803277
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,LEAD-3,-0.13260993975903615
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,LEAD-3,-0.1660220779220779
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,LEAD-3,-0.26943235294117646
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,LEAD-3,-0.36703625
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,LEAD-3,-0.2903076923076923
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,LEAD-3,-0.17628227272727273
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,LEAD-3,-0.21543571428571429
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,LEAD-3,-0.1817382183908046
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,LEAD-3,-0.11148019801980197
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,LEAD-3,-0.14751264367816092
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,LEAD-3,-0.12939924242424242
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,LEAD-3,-0.17901266666666668
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,LEAD-3,-0.24756
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,LEAD-3,-0.1659454268292683
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,LEAD-3,-0.22673522727272727
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,LEAD-3,-0.2020891791044776
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,LEAD-3,-0.24530703125
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,LEAD-3,-0.2860571428571429
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,LEAD-3,-0.23998577586206896
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,LEAD-3,-0.407366935483871
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,LEAD-3,-0.16679154929577464
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,LEAD-3,-0.18997911392405065
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,LEAD-3,-0.13697499999999999
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,LEAD-3,-0.1114659090909091
