doc,summarizer,score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,3.303602695465088
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-8.024298667907715
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,-8.678389549255371
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,-12.51285171508789
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,-9.20564079284668
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,-6.3656110763549805
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,-2.0048322677612305
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,-7.181091785430908
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,4.857446670532227
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,-10.715523719787598
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-3.221668243408203
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-16.663236618041992
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-16.32151985168457
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,-8.122394561767578
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-14.191115379333496
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,-14.597549438476562
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,-18.244945526123047
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,-14.881376266479492
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,4.3365702629089355
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,-0.32113391160964966
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,-2.6869373321533203
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,-1.6752455234527588
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,0.4215114712715149
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,5.635419845581055
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-10.866195678710938
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,-5.164170742034912
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,-10.937088012695312
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,-14.31544303894043
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,-5.411050796508789
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,-8.873333930969238
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,-9.735015869140625
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,-8.486283302307129
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,-9.432079315185547
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,-18.474313735961914
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,-11.074983596801758
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,-12.02401351928711
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,-9.562487602233887
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,-9.556131362915039
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,-14.656475067138672
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,-12.651681900024414
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,-10.281026840209961
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,-12.746664047241211
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,-7.089668273925781
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,-18.731487274169922
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,-3.626391887664795
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,-6.788622856140137
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,-1.1710915565490723
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,-12.482501983642578
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,-7.257228851318359
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,-4.681089401245117
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,-10.134546279907227
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,-9.678650856018066
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,-12.422521591186523
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,-27.34962272644043
