doc,summarizer,score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,-30.96690559387207
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-12.70291805267334
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,-17.964054107666016
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,-23.133365631103516
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,-19.325443267822266
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,-13.366225242614746
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,-25.070974349975586
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,-16.364145278930664
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,-35.16887664794922
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,-7.757455825805664
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-14.467905044555664
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-19.590055465698242
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-14.611547470092773
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,-10.290399551391602
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-16.018112182617188
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,-13.009034156799316
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.46870020031929016
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,1.0269017219543457
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,-28.505569458007812
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,-8.253325462341309
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,-9.351356506347656
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,-40.55133056640625
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,-12.919315338134766
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,-33.42758560180664
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-22.220436096191406
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,-11.842489242553711
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,-9.982439994812012
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,-23.299850463867188
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,-18.142845153808594
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,-31.51772689819336
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,-27.09990882873535
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,-6.689813613891602
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,-10.244258880615234
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,-12.025815963745117
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,-10.934147834777832
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,-14.520977973937988
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,-28.625530242919922
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,-15.477790832519531
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,-23.58055877685547
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,-8.584033012390137
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,-7.048885345458984
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,-18.51841926574707
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,-13.245397567749023
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,-16.288414001464844
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,-15.84457015991211
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,-20.312686920166016
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,-3.607725143432617
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,-19.503013610839844
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,-10.736709594726562
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,-9.747142791748047
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,-15.957509994506836
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,-4.628701210021973
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,-3.447504758834839
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,-26.383874893188477
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,BanditSum,-12.556175231933594
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,BanditSum,-0.3078768849372864
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,BanditSum,-13.09775447845459
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,BanditSum,-2.1221961975097656
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,BanditSum,-19.533838272094727
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,BanditSum,-19.89219856262207
