doc,summarizer,score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,-12.84361743927002
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-0.8056848645210266
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,0.1789940893650055
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,3.697068452835083
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,5.448722839355469
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,8.847395896911621
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,-3.6120433807373047
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,6.6855669021606445
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,4.3874711990356445
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,-0.36115017533302307
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-4.597774028778076
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-2.062314033508301
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-13.799571990966797
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,18.441795349121094
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-23.246530532836914
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,30.06995964050293
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,5.221971035003662
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,-12.406133651733398
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,17.02635955810547
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,23.352935791015625
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,12.382205963134766
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,16.718496322631836
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,-8.177384376525879
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,16.23788070678711
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-2.452324151992798
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,-9.451998710632324
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,15.290178298950195
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,-11.553668975830078
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,13.001728057861328
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,22.343652725219727
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,-2.877200126647949
