doc,summarizer,random_score
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,BART,-0.39896013918340767
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,BanditSum,-0.759095960855704
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Bottom-Up,1.0239450152185405
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Closed book decoder,0.184965554308073
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,GPT-2 (zero shot),-0.23684383034038503
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Improve-abs,-0.9401835583990371
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,LEAD-3,0.5821541435009665
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,ROUGESal,-1.047797783711641
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Multi-task (Ent + QG),0.3934843056225042
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Pegasus,-0.8727432695271807
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Pegasus (dynamic mix),0.3862021426484896
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,RNES,0.7543208300553713
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,T5,0.9003126319718358
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Unified-ext-abs,0.39178528770147447
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,abssentrw,0.7413404984612314
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,neusum,-1.5900503365731062
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,PG,-1.8511117463387528
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,BART,0.019677999687024248
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,BanditSum,-1.630771062896182
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Bottom-Up,-0.17180698252437976
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Closed book decoder,-0.8590752440794441
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,GPT-2 (zero shot),1.1470504348986181
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Improve-abs,0.1612758993925782
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,LEAD-3,-0.4060655662869821
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,ROUGESal,-0.5157535976118185
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Multi-task (Ent + QG),1.193988175510282
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Pegasus,0.5811609885275113
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Pegasus (dynamic mix),-0.9392494208618081
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,RNES,0.5735571263027752
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,T5,1.2527832115331394
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Unified-ext-abs,0.4558406432493067
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,abssentrw,1.5221938843593414
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,neusum,-0.9505967520369073
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,PG,-0.32538945134664593
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,BART,0.1000533830305236
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,BanditSum,0.6994265539896725
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Bottom-Up,1.4873315049938687
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Closed book decoder,1.0977392931867491
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,GPT-2 (zero shot),-1.0703394569467475
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Improve-abs,-0.1907058494320712
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,LEAD-3,1.1564662382570297
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,ROUGESal,-0.7250863977315265
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Multi-task (Ent + QG),0.4281954927369117
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Pegasus,-0.6474725539329523
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Pegasus (dynamic mix),-0.24092681022730736
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,RNES,0.466541548136296
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,T5,-0.3540672280955582
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Unified-ext-abs,0.772462454009299
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,abssentrw,0.2547462211800098
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,neusum,-0.3589190349498368
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,PG,-0.9155785965717955
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,BART,-1.7421009867026176
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,BanditSum,-0.7192565418279987
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Bottom-Up,-0.37555032436553115
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Closed book decoder,-0.5058232569617784
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,GPT-2 (zero shot),1.0647001043311874
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Improve-abs,1.0718202542354327
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,LEAD-3,-0.4089298519415889
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,ROUGESal,1.3733485944481962
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Multi-task (Ent + QG),-0.20014694718482448
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Pegasus,1.5290820733419606
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Pegasus (dynamic mix),0.20391977773285347
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,RNES,-0.3814893224112346
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,T5,-0.8007403976143158
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Unified-ext-abs,-0.21030965640937122
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,abssentrw,-1.4450038672032888
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,neusum,0.3361917755235878
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,PG,-0.46418627553839087
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BART,0.16128198040212344
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,-0.4325771396555479
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Bottom-Up,-0.9861954182410241
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Closed book decoder,-0.8322222121733112
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,GPT-2 (zero shot),0.39599761103678505
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Improve-abs,0.7884877691654567
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,LEAD-3,3.850780220306178
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,ROUGESal,2.2100735840921497
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Multi-task (Ent + QG),0.17483474473027547
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Pegasus,-0.5223255414112126
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Pegasus (dynamic mix),0.19661418868545036
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,RNES,-0.3011035143155673
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,T5,2.8752592005671382
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Unified-ext-abs,-0.08188079118909213
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,abssentrw,1.5459452484391356
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,neusum,-0.7706949061857528
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,PG,0.8424838157917781
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BART,-0.4268025733867546
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-0.23138244542500047
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Bottom-Up,-0.2709846977735266
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Closed book decoder,-1.0726861757076398
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,GPT-2 (zero shot),-0.6609359235096722
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Improve-abs,-0.4313216075262201
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,LEAD-3,-0.35552823996846594
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,ROUGESal,-0.19696430537629608
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Multi-task (Ent + QG),1.3775615419061396
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Pegasus,0.7053741320881532
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Pegasus (dynamic mix),0.038882687332903856
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,RNES,-0.14194994906813252
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,T5,0.6833700497188304
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Unified-ext-abs,1.7993668617070362
