doc,summarizer,unified_score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,54.882530212402344
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,75.93684387207031
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,112.55484771728516
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,84.459228515625
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,79.81283569335938
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,81.94667053222656
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,73.24459075927734
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,75.89938354492188
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,39.10337448120117
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,117.95794677734375
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,78.06556701660156
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,53.19007873535156
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,84.90424346923828
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,58.63841247558594
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,60.25154113769531
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,45.756324768066406
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,70.44812774658203
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,67.01644134521484
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,49.88871765136719
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,130.3612060546875
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,116.16158294677734
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,53.36170959472656
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,93.3660659790039
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,32.461002349853516
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,76.52421569824219
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,63.55109786987305
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,72.4596939086914
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,51.24433898925781
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,66.63890075683594
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,50.22599411010742
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,80.88145446777344
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,92.62105560302734
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,37.78033447265625
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,84.11334228515625
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,63.235206604003906
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,86.02902221679688
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,49.47689437866211
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,54.580318450927734
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,60.09520721435547
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,49.61567687988281
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,109.69734954833984
